"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Factor Value[Container_after_initiation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_initiation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_04d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_08d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_after_12d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Salt_Quantity_ter_16d]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Medium_after_initiation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Watering_after_initiation]"	"Term Source REF"	"Term Accession Number"	"Sample Name"
"rg3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_12"
"rg3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_17"
"rg3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_22"
"rg3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_27"
"rg3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_32"
"rg3"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_36"
"rg4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_13"
"rg4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_18"
"rg4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_23"
"rg4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_28"
"rg4"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_33"
"rg5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"75"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_14"
"rg5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"75"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_19"
"rg5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"75"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_24"
"rg5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"75"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_29"
"rg5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"75"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_34"
"rg5"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana.Col-0"	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"Pot"	""	""	"0"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"10"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"50"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"75"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"Potting soil"	""	""	"Half-strength GS-90 plus 1/4 Hoagland solution."	""	""	"6265if_37"
